Date,Closing Price (USD),active_addresses,hash_rate,btc_left,total_addresses,difficulty,total_fees,fed_assets,GLD,IYE,SLV,SPY,TLT,UUP,NYFed_inflation,Google_popularity,Pct_of_OI_Dealer_Long_All,Pct_of_OI_Dealer_Short_All,Pct_of_OI_Lev_Money_Long_All,Pct_of_OI_Lev_Money_Short_All,Pct_Change_Dealer_Net_Position,Pct_Change_Lev_Money_Net_Position
2019-08-20,10818.5070076193,4727350,7.309817674887147e+19,3112200.0,548392688,4.37377497784568e+22,316.79934896,3767887.7142857136,142.21000700000005,30.98,16.049999,290.089996,145.529999,26.66,2.411174039,15,0.0,1.1,40.9,49.3,-0.0,-0.2196652719665272
2019-08-27,10122.1965329581,5085712,7.35195933672494e+19,3099487.5,550787998,4.37377497784568e+22,266.52233539,3760648.857142857,145.570007,29.889999,17.030001000000002,286.869995,147.610001,26.639999,2.411174039,15,0.0,1.2,42.5,51.2,-0.0,-0.05093833780160858
2019-09-03,10691.31129913,4875049,8.123897101607372e+19,3085762.5,553206375,4.62653733831284e+22,214.08756556,3761284.857142857,145.75,30.610001,17.889999,290.73999,147.21000700000005,26.93,2.33281461,12,0.7,1.1,44.0,54.9,-0.62,0.3785310734463277
2019-09-10,10082.9468264833,5032103,8.521497106549396e+19,3071837.5,555708200,4.62653733831284e+22,229.95974854,3768506.5714285714,140.179993,32.700001,16.85,298.130005,140.690002,26.76,2.33281461,12,0.8,1.2,41.0,54.1,-0.0,0.10860655737704918
2019-09-17,10231.4215119596,5084701,8.960112712133976e+19,3058025.0,558241440,5.10697164780102e+22,194.99802520000003,3833977.5714285714,141.600006,33.41,16.860001,300.920013,139.029999,26.719998999999998,2.33281461,12,0.7,1.2,40.4,54.0,-0.0,0.046210720887245836
2019-09-24,8688.973525957199,5124661,9.089186396245447e+19,3044575.0,560782124,5.10697164780102e+22,217.29362192,3855855.0,144.509995,32.369999,17.440001000000002,295.869995,143.570007,26.77,2.33281461,12,1.7,1.2,39.5,60.1,-2.1578947368421053,0.5176678445229682
2019-10-01,8333.689190421701,4952369,9.115663818791384e+19,3031737.5,563246370,5.48030070448019e+22,243.17446233,3933243.0,139.630005,31.02,16.15,293.23999,143.259995,27.01,2.288578202,12,1.8,0.0,38.8,61.6,1.681818181818182,-0.10942956926658906
2019-10-08,8201.6378181926,4785415,9.661219352449976e+19,3018412.5,565695269,5.48030070448019e+22,190.89034643,3949365.857142857,141.919998,29.950001,16.610001,288.5299990000001,145.169998,27.049999,2.288578202,12,1.8,0.0,36.3,61.4,0.0,0.09411764705882353
2019-10-15,8337.8189985374,3985513,9.279718773245883e+19,3007587.5,567754183,5.58693282930144e+22,152.42645493,3963718.333333334,140.58999599999999,30.99,16.49,295.950012,141.46000700000005,26.9,2.288578202,12,1.7,0.0,34.4,59.0,0.0,0.009557945041816007
2019-10-22,8073.4095438836,4803967,9.871293569694104e+19,2992312.5,570606600,5.58693282930144e+22,156.48291773,3968381.5714285714,140.199997,31.51,16.370001000000002,299.01001,139.33999599999999,26.629998999999998,2.288578202,12,1.9,0.0,30.7,55.4,0.0,-0.09585798816568047
2019-10-29,9455.7246926058,5087902,9.264415653388634e+19,2980300.0,573117270,5.88044590000295e+22,251.39827151,4012519.7142857136,140.25,31.82,16.65,303.209991,137.350006,26.700001,2.288578202,12,1.0,0.0,30.3,63.9,-0.4406779661016949,0.387434554973822
2019-11-05,9326.599623784101,5017549,9.185954997477686e+19,2968500.0,575666693,5.88044590000295e+22,255.08092096,4036640.142857143,139.850006,32.919998,16.440001000000002,307.0299990000001,137.149994,26.780001000000002,2.274465032,11,0.9,0.0,34.7,66.6,-0.030303030303030307,0.06037735849056604
2019-11-12,8760.8927181435,5038419,9.128750521763666e+19,2956112.5,578159162,5.463200662839e+22,230.81727148,4046676.4285714286,137.429993,32.110001000000004,15.72,309.0,135.619995,26.9,2.274465032,11,1.0,0.0,29.5,66.1,0.0,0.0062277580071174385
2019-11-19,8118.4885358003,5071946,9.4908467021029e+19,2942975.0,580696369,5.463200662839e+22,199.81473153,4032768.0,138.690002,31.24,16.02,311.929993,139.16000400000001,26.790001,2.274465032,11,1.2,0.0,33.5,60.6,0.1875,-0.2440318302387268
2019-11-26,7141.0694486946995,4987599,8.824069333257888e+19,2930950.0,583235450,5.57196242092859e+22,214.86076376,4049642.7142857136,137.740005,31.67,15.99,314.079987,141.130005,26.9,2.274465032,11,1.1,0.0,32.5,47.0,0.0,-0.3988304093567252
2019-12-03,7315.3677645579,5042457,9.276146503119284e+19,2918375.0,585844934,5.57196242092859e+22,193.44628439,4063864.4285714286,139.110001,31.01,16.049999,309.549988,141.21000700000005,26.77,2.2947028080000003,10,4.4,0.0,30.0,42.1,2.4473684210526314,-0.2937743190661479
2019-12-10,7239.762575441,5066859,9.67208952707854e+19,2905175.0,588411848,5.53056156509425e+22,155.42309749999995,4091234.5714285714,137.970001,31.99,15.57,313.5299990000001,138.66000400000001,26.719998999999998,2.2947028080000003,10,4.1,0.0,33.1,54.6,0.0,0.9201101928374656
2019-12-17,6584.0288433458,5207410,9.056029607703658e+19,2892800.0,590993303,5.53056156509425e+22,150.54157482000005,4131114.7142857136,139.009995,31.459999,15.88,319.570007,137.600006,26.66,2.2947028080000003,10,3.5,0.0,41.1,63.7,0.022900763358778626,0.2453371592539455
2019-12-24,7235.6266504955,4767455,9.739939097549408e+19,2879550.0,593511140,5.56137852721655e+22,147.56881042,4161514.0,141.270004,32.150002,16.58,321.230011,136.83999599999999,26.26,2.2947028080000003,10,3.9,0.0,33.3,63.7,0.022388059701492536,0.2407834101382489
2019-12-31,7179.9578192867,4506392,9.709156323690894e+19,2866362.5,595890165,5.56137852721655e+22,106.31851103,4172478.142857143,142.899994,32.119999,16.68,321.859985,135.479996,25.969998999999998,2.2947028080000003,10,4.3,0.0,32.5,57.8,0.0,-0.25441039925719594
2020-01-07,8039.603700818299,4620836,1.0914260991456716e+20,2852287.5,598293937,5.92653252637567e+22,110.39594759,4152984.2857142864,147.970001,32.490002000000004,17.17,322.730011,137.649994,26.120001000000002,2.184367399,13,1.2,0.8,46.6,67.8,-0.8248175182481752,0.4246575342465753
2020-01-14,8735.1424391365,5091575,1.0296536034127572e+20,2839162.5,600978936,6.34640153194588e+22,169.94491663,4172092.0,145.690002,31.940001000000002,16.620001000000002,327.450012,138.729996,26.23,2.184367399,13,1.2,0.9,49.7,61.8,-0.16666666666666666,-0.430944055944056
2020-01-21,8708.786013433,5033896,1.1074074730312235e+20,2825962.5,603640398,6.34640153194588e+22,152.04937445999997,4150188.857142857,146.740005,30.959999,16.639999,331.299988,139.470001,26.299999,2.184367399,13,1.3,0.9,44.8,59.1,0.0,0.1228878648233487
2020-01-28,9131.1149880642,5036461,1.1019393866418884e+20,2812900.0,606216206,6.64263891249076e+22,123.55870027,4150813.142857143,147.66000400000001,29.48,16.32,326.890015,143.16000400000001,26.43,2.184367399,13,1.3,0.9,35.5,59.1,0.0,0.5868673050615595
